Instrument_Number,Instrument_Label,Channel_Number,Channel_Label,North,East,Down,On,Type,Axis_Number,Gain,Sensitivity,Vmax,LowFreq,HighFreq,Orientation_N,Orientation_E,Orientation_D,Motion,P_Station_Correction,S_Station_Correction,Owner_Array,Array_Instrument_Number,Array_Channel_Number
1,N1,1,N!,20.000000,0.000000,-37.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,1.000000,0.000000,0.000000,1,0.000002,0.000000,,0,0
2,S1,2,S1,-20.000000,0.000000,-37.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,-1.000000,0.000000,0.000000,1,0.000002,0.000000,,0,0
3,NC,3,NC,20.000000,0.000000,0.000000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,1.000000,0.000000,0.000000,1,0.000002,0.000000,,0,0
4,SC,4,SC,-20.000000,0.000000,0.000000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,-1.000000,0.000000,0.000000,1,0.000002,0.000000,,0,0
5,W1,5,W1,0.000000,-20.000000,-37.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,0.000000,-1.000000,0.000000,1,0.000002,0.000000,,0,0
6,E1,6,E1,0.000000,20.000000,-37.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,0.000000,1.000000,0.000000,1,0.000002,0.000000,,0,0
7,W4,7,W4,0.000000,-20.000000,12.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,0.000000,-1.000000,0.000000,1,0.000002,0.000000,,0,0
8,E4,8,E4,0.000000,20.000000,12.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,0.000000,1.000000,0.000000,1,0.000002,0.000000,,0,0
9,S6,9,S6,-20.000000,0.000000,37.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,-1.000000,0.000000,0.000000,1,0.000002,0.000000,,0,0
10,N6,10,N6,20.000000,0.000000,37.500000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,1.000000,0.000000,0.000000,1,0.000002,0.000000,,0,0
11,SW5,11,SW5,-14.100000,-14.100000,25.000000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,-0.707000,-0.707000,0.000000,1,0.000002,0.000000,,0,0
12,NE2,12,NE2,14.100000,14.100000,-25.000000,1,5,0,1000.000000,1.000000,5.000000,4000.000000,1000000.000000,0.707000,0.707000,0.707000,1,0.000002,0.000000,,0,0
